episode,reward,reward_avg_50,pending_avg,delivered_total,ontime,late,epsilon,max_delta_q,delta_avg_50,sec_elapsed,seed,Q1_used,Q3_used,Q1_entries,Q3_entries,ticks_total,wait_count,action_count,wait_ratio,avg_rider_load,batching_efficiency,activated_riders
1,-22242.133,-22242.133,47.059,235,171,64,0.995,91.760915,91.760915,183.89,8,617,3,290,2,900,485,900,0.5389,2.0067,0.9411,6
2,-35370.62,-28806.377,66.037,245,166,79,0.99,130.916351,111.338633,485.75,9,573,2,470,4,900,519,900,0.5767,1.9628,0.9678,6
3,-36583.684,-31398.812,65.138,221,144,77,0.9851,122.207354,114.96154,733.84,10,561,1,598,5,900,540,900,0.6,2.0081,0.96,6
4,-35739.116,-32483.888,63.284,243,165,78,0.9801,164.35156,127.309045,1017.64,11,620,4,723,6,900,492,900,0.5467,1.9096,0.99,6
5,-34356.368,-32858.384,63.494,216,137,79,0.9752,117.521244,125.351485,1200.71,12,613,3,783,7,900,492,900,0.5467,1.9582,0.9667,6
6,-35008.297,-33216.703,65.888,224,144,80,0.9704,171.454266,133.035282,1421.28,13,585,2,852,7,900,503,900,0.5589,2.1089,0.9467,6
7,-39813.208,-34159.061,72.082,233,167,66,0.9655,133.256903,133.066942,1716.96,14,612,1,909,7,900,491,900,0.5456,2.0287,0.9678,6
8,-28045.63,-33394.882,56.413,231,157,74,0.9607,111.342379,130.351372,1868.07,15,535,2,973,7,900,554,900,0.6156,2.0358,0.9478,6
9,-38629.656,-33976.524,68.053,231,147,84,0.9559,163.797842,134.067646,2099.37,16,531,3,1039,7,900,547,900,0.6078,2.0721,0.9922,6
10,-38515.889,-34430.46,65.963,243,168,75,0.9511,176.869677,138.347849,2306.2,17,582,6,1098,7,900,513,900,0.57,2.0478,0.9844,6
11,-30649.171,-34086.707,63.028,238,175,63,0.9464,136.786508,138.205909,2467.34,18,555,1,1146,7,900,538,900,0.5978,2.0067,0.9722,6
12,-37343.275,-34358.087,67.871,223,145,78,0.9416,144.751506,138.751376,2823.59,19,592,2,1186,7,900,495,900,0.55,2.0109,0.9867,6
13,-36804.905,-34546.304,72.842,224,159,65,0.9369,165.606524,140.817156,3103.18,20,610,2,1231,7,900,515,900,0.5722,2.053,0.9667,6
14,-33851.386,-34496.667,58.188,240,157,83,0.9322,158.711737,142.095341,3485.16,21,623,0,1274,7,900,479,900,0.5322,1.9921,0.9611,6
15,-25426.308,-33891.976,52.2,243,176,67,0.9276,130.512868,141.323176,3746.14,22,660,0,1325,7,900,484,900,0.5378,2.0159,0.97,6
16,-35623.807,-34000.216,66.53,226,142,84,0.9229,154.928736,142.173523,4064.43,23,590,2,1364,7,900,491,900,0.5456,2.023,0.9511,6
17,-29361.468,-33727.348,54.186,243,171,72,0.9183,119.47166,140.83812,4447.24,24,609,2,1532,7,900,502,900,0.5578,2.0228,0.97,6
18,-41196.04,-34142.276,78.579,225,154,71,0.9137,131.660818,140.328269,4810.5,25,510,2,1559,7,900,574,900,0.6378,2.0607,0.9489,6
19,-27351.987,-33784.892,53.203,218,150,68,0.9092,114.659148,138.977263,5157.36,26,704,2,1612,7,900,441,900,0.49,1.9961,0.9756,6
20,-31900.69,-33690.682,52.449,250,162,88,0.9046,143.488726,139.202836,5382.05,27,584,4,1667,9,900,497,900,0.5522,2.0526,0.9456,6
21,-29012.51,-33467.912,49.011,222,144,78,0.9001,160.229312,140.204097,5471.55,28,540,5,1698,9,900,564,900,0.6267,2.0166,0.9811,6
22,-34466.871,-33513.319,64.853,241,158,83,0.8956,132.308112,139.845189,5653.79,29,588,3,1744,9,900,532,900,0.5911,2.0502,0.9444,6
23,-36706.306,-33652.145,72.216,234,162,72,0.8911,132.404713,139.52169,5862.4,30,533,5,1786,9,900,540,900,0.6,2.0395,0.9344,6
24,-31500.17,-33562.479,62.177,230,161,69,0.8867,266.5464,144.814386,6028.6,31,600,4,1833,10,900,527,900,0.5856,2.0195,0.9511,6
25,-35524.102,-33640.944,63.128,247,171,76,0.8822,143.610944,144.766248,6269.01,32,568,3,1871,11,900,522,900,0.58,2.0087,0.9744,6
26,-37592.237,-33792.917,69.48,231,153,78,0.8778,119.946098,143.811627,6538.15,33,579,5,1893,12,900,510,900,0.5667,2.0814,0.9911,6
27,-32872.639,-33758.832,66.642,239,167,72,0.8734,113.422558,142.686106,6671.79,34,582,3,1931,13,900,515,900,0.5722,2.0843,0.9767,6
28,-36680.436,-33863.175,70.733,241,165,76,0.8691,152.001576,143.018801,6880.06,35,526,3,1962,13,900,535,900,0.5944,1.9647,0.9722,6
29,-40303.088,-34085.241,76.403,215,145,70,0.8647,179.261948,144.268565,7194.7,36,621,2,1982,13,900,479,900,0.5322,1.9519,0.9422,6
30,-35144.737,-34120.558,70.254,238,168,70,0.8604,171.276337,145.168824,7371.86,37,535,3,2002,13,900,535,900,0.5944,2.0978,0.96,6
31,-27564.038,-33909.057,47.294,238,165,73,0.8561,135.687161,144.862964,7545.05,38,621,2,2046,13,900,485,900,0.5389,2.0357,0.9822,6
32,-33169.071,-33885.933,63.328,233,161,72,0.8518,105.95285,143.647023,7761.28,39,555,5,2068,13,900,532,900,0.5911,2.0502,0.9611,6
33,-28943.804,-33736.171,52.921,255,191,64,0.8475,126.089923,143.11499,8076.88,40,665,1,2092,13,900,456,900,0.5067,1.9562,0.9789,6
34,-37473.214,-33846.084,68.296,232,171,61,0.8433,148.392478,143.27021,8498.33,41,640,2,2123,14,900,468,900,0.52,1.9842,0.9922,6
35,-38543.765,-33980.304,75.597,221,151,70,0.8391,125.481386,142.761958,8778.41,42,653,1,2140,14,900,452,900,0.5022,2.0186,0.9722,6
36,-38185.21,-34097.107,73.026,236,154,82,0.8349,134.1228,142.521981,9013.7,43,541,2,2152,14,900,547,900,0.6078,2.0865,0.9667,6
37,-32694.375,-34059.195,60.701,235,162,73,0.8307,99.528079,141.359984,9156.21,44,527,2,2176,14,900,575,900,0.6389,2.1314,0.9667,6
38,-36173.208,-34114.827,61.597,250,165,85,0.8266,152.081234,141.642122,9304.22,45,526,5,2206,15,900,535,900,0.5944,2.0179,0.9467,6
39,-39352.454,-34249.125,69.217,241,156,85,0.8224,144.587934,141.717656,9526.46,46,534,2,2246,15,900,527,900,0.5856,2.0892,0.9611,6
40,-30166.634,-34147.063,57.886,238,172,66,0.8183,106.518372,140.837673,9681.13,47,489,5,2267,16,900,561,900,0.6233,2.0728,0.9733,6
41,-37940.71,-34239.591,70.924,228,154,74,0.8142,241.066427,143.282277,9899.45,48,559,5,2295,16,900,520,900,0.5778,1.9791,0.9656,6
42,-37481.651,-34316.783,68.833,226,157,69,0.8102,101.717196,142.292632,10151.41,49,541,6,2306,16,900,525,900,0.5833,2.0596,0.9667,6
43,-32143.672,-34266.245,65.469,222,146,76,0.8061,125.874491,141.910815,10435.74,50,628,3,2326,16,900,450,900,0.5,2.043,0.9856,6
44,-32796.778,-34232.848,60.138,220,153,67,0.8021,136.378108,141.785072,10647.58,51,585,5,2369,17,900,507,900,0.5633,2.0167,0.9478,6
45,-44098.553,-34452.086,81.509,222,146,76,0.7981,179.346861,142.619778,10988.65,52,609,2,2382,17,900,453,900,0.5033,2.0041,0.9811,6
46,-32482.845,-34409.276,62.716,217,145,72,0.7941,170.165149,143.218591,11265.41,53,573,4,2401,18,900,515,900,0.5722,2.0402,0.9644,6
47,-36678.851,-34457.565,64.419,222,157,65,0.7901,144.625498,143.248525,11525.07,54,642,3,2415,18,900,471,900,0.5233,1.9317,0.9533,6
48,-35976.563,-34489.211,67.478,247,180,67,0.7862,104.086642,142.432652,11810.92,55,599,2,2437,18,900,501,900,0.5567,2.0069,0.9956,6
49,-32891.559,-34456.606,65.172,232,164,68,0.7822,131.91818,142.218071,12044.58,56,637,4,2447,18,900,467,900,0.5189,2.0078,0.9822,6
50,-31580.956,-34399.093,60.312,235,172,63,0.7783,210.72766,143.588263,12329.89,57,596,4,2467,18,900,497,900,0.5522,2.0511,0.9767,6
